COUNTY,Class,Enrollment,Gender,School Category,Year,County (Centroids)
Baringo        ,Class 1,9153,Boys,Public School,12/31/2014 12:00:00 AM,"(0.6692519803, 35.9464653527) "
Bomet          ,Class 1,13257,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.7262945834, 35.2985975867)"
Bomet          ,Class 1,14075,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.7262945834, 35.2985975867)"
Bungoma        ,Class 1,30884,Boys,Public School,12/31/2014 12:00:00 AM,"(0.7492852396, 34.6404608756) "
Bungoma        ,Class 1,31257,Girls,Public School,12/31/2014 12:00:00 AM,"(0.7492852396, 34.6404608756) "
Busia          ,Class 1,16855,Girls,Public School,12/31/2014 12:00:00 AM,"(0.3874436775, 34.1936314884) "
Busia          ,Class 1,17018,Boys,Public School,12/31/2014 12:00:00 AM,"(0.3874436775, 34.1936314884) "
Elgeyo Marakwet,Class 1,7378,Boys,Public School,12/31/2014 12:00:00 AM,"(0.8022188109, 35.5365631474) "
Elgeyo Marakwet,Class 1,6885,Girls,Public School,12/31/2014 12:00:00 AM,"(0.8022188109, 35.5365631474) "
Embu           ,Class 1,5942,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.6039743776, 37.6265013265)"
Embu           ,Class 1,6539,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.6039743776, 37.6265013265)"
Garissa        ,Class 1,5916,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.4889103448, 40.1992785378)"
Garissa        ,Class 1,4099,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.4889103448, 40.1992785378)"
Homa Bay       ,Class 1,19142,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.5428093942, 34.3589968687)"
Homa Bay       ,Class 1,19289,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.5428093942, 34.3589968687)"
Isiolo         ,Class 1,2308,Boys,Public School,12/31/2014 12:00:00 AM,"(1.0104430775, 38.5421531206) "
Isiolo         ,Class 1,2267,Girls,Public School,12/31/2014 12:00:00 AM,"(1.0104430775, 38.5421531206) "
Kajiado        ,Class 1,7259,Girls,Public School,12/31/2014 12:00:00 AM,"(-2.1213835779, 36.908842193) "
Kajiado        ,Class 1,7713,Boys,Public School,12/31/2014 12:00:00 AM,"(-2.1213835779, 36.908842193) "
Kakamega       ,Class 1,35668,Boys,Public School,12/31/2014 12:00:00 AM,"(0.403683464, 34.744511153)   "
Kakamega       ,Class 1,35280,Girls,Public School,12/31/2014 12:00:00 AM,"(0.403683464, 34.744511153)   "
Kericho        ,Class 1,11879,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.295732906, 35.3140700086) "
Kericho        ,Class 1,12584,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.295732906, 35.3140700086) "
Kiambu         ,Class 1,12255,Boys,Public School,12/31/2014 12:00:00 AM,"(-1.068706066, 36.8235642579) "
Kiambu         ,Class 1,11549,Girls,Public School,12/31/2014 12:00:00 AM,"(-1.068706066, 36.8235642579) "
Kilifi         ,Class 1,16495,Girls,Public School,12/31/2014 12:00:00 AM,"(-3.1757320132, 39.6866875507)"
Kilifi         ,Class 1,17721,Boys,Public School,12/31/2014 12:00:00 AM,"(-3.1757320132, 39.6866875507)"
Kirinyaga      ,Class 1,4899,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.5247462962, 37.3198681093)"
Kirinyaga      ,Class 1,4442,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.5247462962, 37.3198681093)"
Kisii          ,Class 1,17426,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.7746037572, 34.7747229835)"
Kisii          ,Class 1,17819,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.7746037572, 34.7747229835)"
Kisumu         ,Class 1,15888,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.1694586948, 34.835203466) "
Kisumu         ,Class 1,15609,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.1694586948, 34.835203466) "
Kitui          ,Class 1,22019,Girls,Public School,12/31/2014 12:00:00 AM,"(-1.4910385308, 38.4069210158)"
Kitui          ,Class 1,23198,Boys,Public School,12/31/2014 12:00:00 AM,"(-1.4910385308, 38.4069210158)"
Kwale          ,Class 1,12599,Boys,Public School,12/31/2014 12:00:00 AM,"(-4.1831495272, 39.1904119005)"
Kwale          ,Class 1,11873,Girls,Public School,12/31/2014 12:00:00 AM,"(-4.1831495272, 39.1904119005)"
Laikipia       ,Class 1,5026,Girls,Public School,12/31/2014 12:00:00 AM,"(0.3236041225, 36.7717278588) "
Laikipia       ,Class 1,5359,Boys,Public School,12/31/2014 12:00:00 AM,"(0.3236041225, 36.7717278588) "
Lamu           ,Class 1,1744,Boys,Public School,12/31/2014 12:00:00 AM,"(-2.0786825436, 40.882860682) "
Lamu           ,Class 1,1636,Girls,Public School,12/31/2014 12:00:00 AM,"(-2.0786825436, 40.882860682) "
Machakos       ,Class 1,15775,Girls,Public School,12/31/2014 12:00:00 AM,"(-1.2795123066, 37.4126760329)"
Machakos       ,Class 1,16836,Boys,Public School,12/31/2014 12:00:00 AM,"(-1.2795123066, 37.4126760329)"
Makueni        ,Class 1,18393,Boys,Public School,12/31/2014 12:00:00 AM,"(-2.1576841001, 37.7882455725)"
Makueni        ,Class 1,16739,Girls,Public School,12/31/2014 12:00:00 AM,"(-2.1576841001, 37.7882455725)"
Mandera        ,Class 1,5900,Girls,Public School,12/31/2014 12:00:00 AM,"(3.436469488, 40.7388101667)  "
West Pokot     ,Class 1,326,Girls,Private School,12/31/2014 12:00:00 AM,"(1.7401062, 35.2438468)       "
Mandera        ,Class 1,546,Girls,Private School,12/31/2014 12:00:00 AM,"(3.4364695, 40.7388102)       "
Makueni        ,Class 1,743,Girls,Private School,12/31/2014 12:00:00 AM,"(-2.1576841, 37.7882456)      "
Makueni        ,Class 1,754,Boys,Private School,12/31/2014 12:00:00 AM,"(-2.1576841, 37.7882456)      "
